page,verse_number,verse,title,variety,variety_glottocode,language,language_glottocode,lang_iso639.3,var_lang_rel
2,25,"Cependant son fils ainé, qui était dans les champs, revint ; et, lorsqu’il fut proche de la maison, il entendit les concerts et le bruit de ceux qui dansaient.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,26,"Il appela donc un des serviteurs, et lui demanda ce que c'était.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,27,"Le serviteur lui répondit : c’est que votre frère est revenu ; et votre père a tué le veau gras, parce qu’il le revoit en santé.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,28,"Ce qui l'ayant mis en colère, il ne voulait point entrer mais son père étant sorti pour l'en prier,","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,29,"il lui fit cette réponse : Voilà déjà tant d’années que e vous sers, et je ne vous ai jamais désobéi en rien de ce que vous m'avez commandé; et cependant vous ne m’avez jamais donné un chevreau, pour me réjouir avec mes amis ;","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,30,"mais aussitôt que votre autre fils, qui a mangé son bien avec des femmes perdues, est revenu, vous avez tué pour lui le veau gras.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,31,"Alors le père lui dit: mon fils, vous êtes toujours avec moi, et tout ce que j'ai est à vous;","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
2,32,"mais il fallait faire festin et nous réjouir, parce que votre frère était mort, et il est ressuscité ; il était perdu, et il a été retrouvé.","Parabole de l'Enfant prodigue. Evangile selon Saint-Luc, chap. XV. (Traduction de Le Maistre de Sacy.)",French,stan1290,French,stan1290,fra,match
4,11,En home aviot dous efons.,Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,12,"Lou pe dzouïne diguet à soun païre: Moun paire, douna me la part de l’eiritadge que me reveit. Lou païre lour partadzéd sa fourtéuna.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,13,"Quahrques dzours apréz, lou dzouïne garçou ramassét soun be, é partiguét per voudiadza diéns un païs estrandgé, é dissipét ati tout ço qu’aviot én débaoutza.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,14,"Apréz qu'aguét tout mandza, la famina se faguét l senti per tout aquer païs, é zer couminquét à counusse lou bezon.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,15,"S'enanét d'ati, se loudzét à un rilge bourdzouais que l'envoudiét diéns éna boria per garda lous coutzous.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,16,"Ouriot be vougu rampli soun véntre de las catoffas que mandzavou lous coutzous, mei n'yn dounave.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,17,"Adonca se diguét én zer mèma : quontzis mercenaïres à l'oustahr de mon païre haut de po tonl que vohrou, é diou eissi more de fon !",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,18,"Me levaréi, m'enanaréi ver moun païre, é dy diréi: Moun païre, éi petza contre lou ciahr é devon Vous.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,19,Sou pas digne d'éstre appela voste fir ; trata me coume un de vostgis doumestiques.,Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,20,"Se levét, s'enanét ver soun païre. Zèra énquèra lon, soun païre lou veguét, et fougué toutza de compassioue, se boutét à courre, se djettét à soun couér, é dy faguét de poutous.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,21,"Lou fir dy Paire, éi petza contre lou ciahr é devon vous, sou pas digne d’éstre appela voste fir.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,22,"Adonca lou païre diguét à soui doumestiques : pourta dy viste sa priméira, sa pe brava raouba, bestié lou, bouta dy én anér à soun det, é de tzahrsas as péz.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,23,"Mena lou vedér gras, sanna lou, mandzon é devartissons nous.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,24,Per ço que moun fir zèra. mort é zes rassussita ; i zèra pardu é s'es retrouba ; ati desoubre se boutérou én trén. j,Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,25,"L'éina zèra dién lous tzons : quan s'aprustzét de l'oustahr, ousiguét Ja fanfara de la tzabreta, é lou bru de la dònsa.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,26,Sounét én doumestique é dy demandét quesaco ?,Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,27,"Lou doumestique dy respondeguét : Cou-zes vosle fraïre quéi vengu, voste païre o faït sanna lou vedér gras per lou recebre.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,28,L'éina tout én couréla voudiot pas entra. Lou païre soutiguét per l'engadza.,Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,29,"L'éïna diguét à soun païre: Atio dedza bien d'annadas que d'iou voui serve san voui desplaïre, maï m'avéz voui dounat én tzabri per me regalat ambe mous camaradas ?",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,30,"É voste fir que zo avala tout soun be én mestzontas coumpanios, ambe lei dzanétas, quan zes vengu, zavés faït sanna lou vedér gras!",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,31,"Lou païre respoundeguét : Moun fir, tu zés toudzour ambe diou, tout ço que zéi es tiéou.",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
4,32,"Tzadiot be faïre festa é se redzouzi, par ço que toun fraire zèra mòrt é zes rassussita, zèra pardu é s'os retrouba,",Id. en patois de nahrte ouvérgna,Auvergnat,auve1239,Occitan,occi1239,oci,dialect
6,11,In homme aveut deux fils.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,12,Li pus jône des deux ly dit: pêre diné m’ çou qui m'vint et vola qu'ilz y fait leu pârteche.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,13,Pô d’joûr après li pus jône pâte et va bin long. Là il alowe a môlva et avou des kmères di mâle-vee li part qu'il aveut awou.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,14,"Kwan il eut tot but et tot magny, arrive ine grande famenne divins l’pays ousse qu’il esteu et vola qui : k’mince a z'avu faim.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,15,I va adlé n’saky di la qui l'evoie vvàrdé ses pourçais.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,16,"Il areut volou rimpli s'vinte, mais on n’ly d'néve : rén et ses pourçais avy Vair d'el'fé gaive tot magnant des hâgnes dé peus.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,17,Rivnou a lu même i dit: Kibin gnia-t-i nin d'trou wans vârlets à l'mohonne di m’père qui flotet é boure so’ l'tims qui j'eryve cial di faim !,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,18,J'yret trové m'père et ji ly diret: J'a petchy conte li cyr et conte vos.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,19,"Ji n'mérite pus qui vos m'loumesse vosse fils, traity . 'me comme onk di vos vârlets.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,20,"I s'Iyve, i va adlé s'père. Il esteut co bin long qui i ci cial é l’veut. Il sint s'cour trefilé, i court à lu, lysatelle à golé et l'bàhe.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,21,"Li fils ly dit : père j'a petchy conte li cyr et conte vos, ji n’ mérite pus qui vos m'loumesse vos fils.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,22,"Li père houk ses vârlets et les y dit: abeye qu’on z'aporte li prumyre robe et qu'on ly mousse, qu'on ly ine bague è s'deugt et des solés d'vins ses pys.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,23,"Prindez on crâ vai, touvvé'l, qui nos magnanse et d’vertihanse.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,24,"Parce qui m'fils quésteut moir est raviqué, qu’il esteut pierdou et qu’il est r'irové et volà qu’on magne so tot ses dints.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,25,"Awet mais, li pus vy des fils qu’esteut à champs, r’vint et kwan il est tôt près de l'mohonne il à chanté et musiqué.",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,26,houke onk des vârlets et ly demande çou qu’çoula vout dire.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,27,Ci cial ly dit: vosse fré est rivnou et vosse père a. fait touwé on crâ vai parç qui la r’trové bin poirtant.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,28,Volla qu'i brogne et qui n'vout nin intré: li père sorté et kwyre à l'ràpàhti.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,29,I dit à s’père : I gnia ottant d'annaies qui ji v'sieve sins vz'avu jamàie manqué et vos n'mavez co mâïe dné on biquet pos gusté avou mes camârades.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,30,Et kwan vosse fils après avu bu magny ço qu'il aveut et qui vz’a fait dné l’pôce à haut vos li fé touwé on crâ vai.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,31,"Li père ly dit: M'fils t'es todi avou mi et cou qu'est. d'a menne est d'a tonk,",Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
6,32,bin qu’on fihe de l'joie pusqui questeut moir est raviqué qu’il esteut pierdou et qu’il est j r'trové.,Id. en patois de Liège,Walloon,wall1255,Walloon,wall1255,wln,match
7,11,Jun’ y avéve oun homme qu'avéve deux fils.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,12,Et l'pu jône des deuss diha atoú s'pere : Pere duno me lu part do l'hérilegehe qui m’vint. Et i partiha s'bin inte l'eux deuss.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,13,"Nin binco d’jours apret, l'pu jône valet ramassa to çou qu’il avéve, et inn’alla bin long d’vin on pais etranghir, vvissqu'i duspansa tolle su part to viquant ol dubâgche.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,14,Et kwand qu’il oût duspandou tot à fait i sorvinve onne foite famine d'vin ci pai là. Et i kminça à s'trové ol misere.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,15,"Et inn’ alla, et i foût s’mette à siervice d'onque des manans d'ci paï là, et ci voci l’evoa es s'cinse po wardé les pourçais.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,16,Et il ouhe bin volou s'rimpli l'vinde avou l'amagni des pourçais: et avéve noulu qui li enn’ dnahe.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,17,"Mais rintré d'vin lu même, i diha : Kwantes varlets ont do pan à l’abondince d'vin l’ màhon du m’ pere! et mi j} moure voci d’faim.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,18,"Ju so nâhi d'çoula, j'irès amon m'pere et j'li dirès : Pere, j'a pegchi conte lu ci et conte vos.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,19,Vola qu’ju n'so nin dignè d’ess loumé vos fils: prindo-me po onque du vos siervans.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,20,"Inn’ alla don, eti revinve amon s' pere. Mais kwand qu’i foût assez pret do l’mâhon, su pere lu véa, et il li es fit si må, qu'i li sôta à cô et su l'bâha.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,21,"Et l'fils li : Pere, j'a pegchi conte lu ci etconte vos: ju n'so nin digne d'ess loumé vos fils.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,22,Mais l'pere diha atou ses siervans: appoirto bin vite su pu belle robe et tapo li so l'coir et metto li onne bague o deut et des solés èze pis.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,23,Et alléze prinde lu cras vai etsul touo et s'magnans et s' fusans gasse.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,24,"Po çou ku voci esteut moir et qu’il est il esteut pierdou, et il est r'trové. Et i kmincint à fé l’gasse. .",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,25,"Mais l’vi des fils esteut à champ et kwand qu'i r'vinve et qu'i foút to près do l'mahon, il oa l'mestrée et les danses.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,26,"Et i houka ouque des siervans, et il li demanda çou k’ c'esteut çoula.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,27,"Ci siervant là li diha : C’est voss frére qu'est ruvni, et vos pere a toué l'eras vai po çou qu’il est r’arivé sain el sâve.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,28,Mais l'vi des fils s'emâvra et i n'voléve nin moussi d’vin. Et i fàve ku s'pere vinahe po fé intré.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,29,"Mais l'fils responda atou s'pere et s'li diha: Volà tant d'années qu’ j'ouverre porr vos; el j’n’a jamais manki d'fé cou qu'vos m'avo kmandé, et vos n'mavo amais dné on biquet po magni avou mes camarades.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,30,"Mais sitoi qu’voss fils volà, qu’a stu duspande su part avou des bancelles du mâle veie, a stu ruvni, vos li ave toué l'eras vai.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,31,Mais s'pere li diha: Mu fils vo esto todi avou mi et to çou k'ja c'est da vos.,Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
7,32,"Mais i faléve fé gasse et s'diverti bravemin, pussku vos frere voci esteut moir et qu'il est raviski; qu’il esteut pierdou et qu' vollà r'trové.",Id. en patois wallon des environs de Malmédy,Walloon,wall1255,Walloon,wall1255,wln,match
9,11,I nia ieu one fu on homme qui aveuve deux garçons.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,12,"Et l’pu djoonne di zels dit à s'pére : Pére, donnezme li légitime qui m'vint. Et i leus a fait leu paure.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,13,"Et au bout d'queques djous, apres awoi rachouné tot s'butin, li pu djoonne des deus est s'tevooïe au diale bain long, et vaila il a mongui tot s'bain es viquant comme on mannet losse.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,14,Et après qu'il a ïeu tappé tot ç'qu'il avoit à maulvaut est sorvinu one grande famenne dains ç'païs-là et il a commainci a s'trové dains l'misère.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,15,"Et il est stevooie, et il est s'taintré au service d'on homme di c’païs-là et i l’a evoïhi à s’zinse por y waurdé les pourcias.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,16,Et il aureuve bain volü s'raimpli l’vinte des favettes qui les pourcias mougnainnes et persoonne ni li es d'neuve.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,17,"Mais raintré dains li maimme, i dit: Combain d'vaurlets dains l'maugeonne di m'pére ont do pouain tot leu soo ! Et mi vaici dji crevo di fouain !",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,18,"Dji quittrois c'paï-ci, et dj'irois emon m'pére et dji dirois: Pére, dj'a offaincé l'bon diet et d'zos vos ouïes.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,19,Dji n'merile pus asteur d’ess nommé vosse à traitez me comme onque di vos vavrlets.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,20,"I paurte et va trové s’pére ; mais comme il estoit co bain long, s'pére li woil et il est toûchi d'compassion et courant au-d'vant d'li, il li sautelle au coo el l'bauge.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,21,"Et l'fils li dit: Pére, dj'a offaincé l'bon diet et d'zos vos ouïes dji n'merite pus asteur d'ess nommé vosse fils.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,22,"Li pére dit aloors à ses vaurlets : allez quaire les pus bias habiemains et mettos les li sul'couare, mettos li one bague à s'doigt et des solés dains ses pis.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,23,"Et amouainrnez l'erau via, touez-le et nos frans l'fiesse.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,24,"Pusqui m'fils estoit mouart et il est raviqué il pierdu et il est r’trové et is s'sont mettu à tauve, et is s'sont bain",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,25,"Mais l'pu vi des garçons esteuve aux tchamps et comme i r'vineuve et approcheuve delle maugeonne, il étaind qu’on tchantoit et qu'on fioit delle musique.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,26,Et il appelle onque des vaurlets et li d'mande ci qui ça v'loit dire.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,27,Citici li dit : Vosse frére est r’vinu et vosse pére a loué l’crau via pusqui il Pa r'trové bain,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,28,"Mais ç'tici à şti mouai, i n'voloit nainraintré, adon estant rechu, a commainci à l'en es prihi.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,29,"Mais c'tici respondant dit à s’pére : Vola d'dja ostant d'années qui dji vos sieds, et dji n'vos a jamais manqué, et vos n'mavos jamais donné tant seulmaunt on boc, po m'regaler avou mes camarades.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,30,"Mais après qui ç'tici vosse fils qui a mongui s'bain avou des soloppes rivint vos fios, toué l'erau por li.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,31,"Mais s'pére li dit: Mi fils, vos estos todi avou mi et tos c’qui dj'a est stavos.",Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
9,32,Mais i falloit bain fe l’fiesse et si r'djoihi pasqui vosse frére estoit mouart et qu’il est raviqué.,Id. en patois de Namur,Walloon,wall1255,Walloon,wall1255,wln,match
11,11,Ein n'saqui avoa deux fieux.,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,12,"Le r'culot dit à s'pée : Pée, baille me l’part de bié qui me r'viet ; et le pée leu baille leu part.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,13,"Ein pau après, l'pus jône walton ramasse tout ce qu'il en voïage et s'ein va ein n'sachu bié long, et droit-là i briscande tout ce qu'i possède en faisant ribaude.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,14,"Quand il a tout assillé, il arrive ein terrible famene d’veins é païs-là et i k’menche à senti l’misere.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,15,"I part et va varlet cheu un manant de ce païs là, qui l'envoïe garder les pourciaux à s’cence.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,16,"IL aroa bié voulu rempli s'veinte des cossiaux que ches pourcheaux megneun'te, maison ne li ein bailloa nié.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,17,"A l'in, après s'avoir bié rappensé, i se dit à li même : Combié y a t- de manouvriers à l'mon de m'pée, qui ont du pain à planté, et mi je m’ muere de faim droit-chi !",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,18,"I faut que je r'prenne corrage et que je delez m'pée et que j'li dise : Pée, j'ai maufait à l'enconte du ciel et conte ti.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,19,Je n'mérite pus. qu'on m'appelle tfieu. Traite me à mains comme ein de tes manouvriers.,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,20,"Par après i s'estampe et i s'en rva delez s'pée. id'étoa co bié long que s’pée l’avoa d'jà ravisé. Id'a pitié, i court à s'ravvard, i s'rue à s’ n’hatriau et i l'embrasse.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,21,Adonc s'fieu li dit : Pée j'ai péché conle le ciel et conte ti. Je n'mérite pus qu'on m'nomme t'fieu.,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,22,"Et l'pée dit à ses varlets : Allez vos ein bien rade querre m'pus belle casaque ; rachemez le bié , boutez li ein anniau à s'doigt et des solers à ses pieds.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,23,Aprés vos amenerez l’cras viau : vos nos l'meignerons et nos ferons bonne chere.,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,24,"Car m'fieu que vehi étoa mort, et le v'la resuscité ; il étoa demannevé et le v'la rekeu : après cha, i s'boutent à faire bonne torche.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,25,"L'pus vieux walton étoa à camps ; et ein r'venant, étant au proche de s'mon, il entend des guisterneux et des danses.",Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,26,I crie après ein des varlets et i li demande chu que ch'est que tout choa ?,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
11,27,Cti la li répond : Ch’est que vos frée est r'venu ; Vos pée a tne l'eras viau.,Id. en patois wallon des environs de Mons (Hainaut),Picard,pica1241,Picard,pica1241,pcd,match
12,11,Inn hom avau deux fius.,Id. en dialecte de Cambrai (Nord),Picard,pica1241,Picard,pica1241,pcd,match
12,12,"El pus josne di à sin père : Min père, donném chou ki peut m'revnir d'vos bins. Et père lieus a fé l’partage d'sin bin.",Id. en dialecte de Cambrai (Nord),Picard,pica1241,Picard,pica1241,pcd,match
